iata;tz
AAL;Europe/Copenhagen
AAQ;Europe/Moscow
AAT;Asia/Shanghai
ABA;Asia/Krasnoyarsk
ABE;America/New_York
ABJ;Africa/Abidjan
ABQ;America/Denver
ABR;America/Chicago
ABT;Asia/Riyadh
ABV;Africa/Lagos
ABY;America/New_York
ABZ;Europe/London
ACA;America/Mexico_City
ACC;Africa/Accra
ACE;Atlantic/Canary
ACX;Asia/Shanghai
ADD;Africa/Addis_Ababa
ADL;Australia/Adelaide
AEB;Asia/Shanghai
AEP;America/Buenos_Aires
AER;Europe/Moscow
AES;Europe/Oslo
AEX;America/Chicago
AFA;America/Mendoza
AGF;Europe/Paris
AGP;Europe/Madrid
AGS;America/New_York
AGU;America/Mexico_City
AHB;Asia/Riyadh
AJA;Europe/Paris
AJF;Asia/Riyadh
AKL;Pacific/Auckland
AKU;Asia/Shanghai
AKX;Asia/Oral
ALA;Asia/Qyzylorda
ALB;America/New_York
ALC;Europe/Madrid
ALG;Africa/Algiers
AMD;Asia/Calcutta
AMM;Asia/Amman
AMQ;Asia/Jayapura
AMS;Europe/Amsterdam
ANC;America/Anchorage
AOG;Asia/Shanghai
AOJ;Asia/Tokyo
APL;Africa/Maputo
AQG;Asia/Shanghai
AQI;Asia/Riyadh
ARH;Europe/Moscow
ARN;Europe/Stockholm
ASE;America/Denver
ASF;Europe/Samara
ASU;America/Asuncion
ATH;Europe/Athens
ATL;America/New_York
ATW;America/Chicago
AUA;America/Aruba
AUH;Asia/Dubai
AUR;Europe/Paris
AUS;America/Chicago
AVL;America/New_York
AVP;America/New_York
AYT;Europe/Istanbul
AZO;America/New_York
BAH;Asia/Bahrain
BAR;\N
BAV;Asia/Shanghai
BAX;Asia/Krasnoyarsk
BCM;Europe/Bucharest
BCN;Europe/Madrid
BDA;Atlantic/Bermuda
BDJ;Asia/Makassar
BDL;America/New_York
BDO;Asia/Jakarta
BDS;Europe/Rome
BEG;Europe/Belgrade
BEJ;Asia/Makassar
BES;Europe/Paris
BEY;Asia/Beirut
BFJ;Asia/Shanghai
BGF;Africa/Bangui
BGI;America/Barbados
BGO;Europe/Oslo
BGR;America/New_York
BGW;Asia/Baghdad
BGY;Europe/Rome
BHD;Europe/London
BHH;Asia/Riyadh
BHI;America/Buenos_Aires
BHM;America/Chicago
BHX;Europe/London
BHY;Asia/Shanghai
BIA;Europe/Paris
BIK;Asia/Jayapura
